genom dna lenght=12
mutation probability per bit=0.1
bias fitness=1e-39
number of Individuals per Generation=100
number of Generations=200
Search space [a,b]=[2,0]
Generation x y f(x,y) fitness
3 0.713553 0.507448 0.0823442 0.920955
3 0.713553 0.562149 0.362855 0.695687
3 0.713553 0.505006 0.0837757 0.919638
3 0.733089 0.506471 0.167021 0.846182
3 1.17558 1.38217 0.0308318 0.969639
3 1.17558 1.38413 0.0312857 0.969199
3 1.08864 0.50696 46.0017 1.05126e-20
3 0.713553 0.524542 0.105719 0.899678
3 1.24493 1.24982 9.06245 0.000115939
3 0.713553 0.504029 0.0846822 0.918804
3 0.744811 1.24982 48.3779 9.76676e-22
3 0.713553 0.511844 0.0827731 0.92056
3 0.71746 1.71233 143.5 1e-39
3 0.713065 0.5558 0.306425 0.736074
3 1.11941 0.5558 48.6353 7.55025e-22
3 1.11306 1.39048 2.30992 0.0992693
3 1.1199 1.23419 0.0543493 0.947101
3 0.728694 0.556288 0.137585 0.87146
3 0.729182 0.507448 0.132188 0.876176
3 0.713553 0.507448 0.0823442 0.920955
3 1.21368 0.530891 88.804 2.70973e-39
3 0.71746 1.71184 143.383 1e-39
3 0.733089 0.526496 0.0831746 0.92019
3 1.1199 1.20293 0.277041 0.758023
3 1.1199 1.21221 0.190535 0.826517
3 1.1746 1.24982 1.71726 0.179557
3 1.17558 1.40708 0.0937964 0.910468
4 1.1199 1.24982 0.0162814 0.98385
4 1.11306 1.39048 2.30992 0.0992693
4 0.729182 0.507448 0.132188 0.876176
4 1.31136 1.71136 0.103827 0.901381
4 1.1199 1.24591 0.0212185 0.979005
4 1.1199 1.14042 1.30865 0.270185
4 1.10769 0.50696 51.8549 3.01804e-23
4 1.1199 1.24347 0.0258547 0.974477
4 0.713553 0.505006 0.0837757 0.919638
4 0.730159 0.524542 0.0801925 0.922939
4 0.728694 0.524542 0.0777702 0.925177
4 1.31136 1.71233 0.102302 0.902757
4 0.675458 1.40708 90.5147 4.89738e-40
4 0.71453 1.39048 77.508 2.18128e-34
4 1.08864 0.507448 45.9355 1.12323e-20
4 0.713553 1.38413 76.6391 5.20059e-34
4 1.1199 1.24982 0.0162814 0.98385
4 0.728694 0.639805 1.25758 0.284342
4 0.713553 0.511844 0.0827731 0.92056
4 1.17558 1.39048 0.0380327 0.962682
4 0.713553 0.524542 0.105719 0.899678
4 0.713065 0.5558 0.306425 0.736074
4 0.733089 0.506471 0.167021 0.846182
4 0.713553 1.1956 47.2029 3.16254e-21
4 0.713553 0.890354 14.6131 4.50416e-07
4 0.713553 1.24982 54.9396 1.3805e-24
4 0.713553 0.511844 0.0827731 0.92056
4 1.1746 0.530891 72.0769 4.98209e-32
4 1.17558 1.39048 0.0380327 0.962682
4 0.713553 0.505006 0.0837757 0.919638
4 0.729182 0.505006 0.144632 0.86534
4 0.733089 0.749695 4.57731 0.0102825
4 0.728694 0.556288 0.137585 0.87146
4 1.1199 1.23419 0.0543493 0.947101
4 1.1199 1.24982 0.0162814 0.98385
4 1.21368 0.507448 93.2762 3.09505e-41
4 1.1199 1.21221 0.190535 0.826517
4 1.1199 1.24982 0.0162814 0.98385
4 0.71746 0.507448 0.0851594 0.918366
4 1.1199 0.507448 55.7754 5.98477e-25
4 0.713553 1.23419 52.6489 1.36419e-23
4 1.17558 1.38999 0.0372274 0.963457
4 0.733089 0.562149 0.132395 0.875995
4 1.42564 1.38217 42.4674 3.60267e-19
4 0.713553 0.712088 4.2001 0.014994
4 0.713553 0.504029 0.0846822 0.918804
4 0.713553 0.507937 0.082201 0.921087
4 1.1199 1.2337 0.0563261 0.945231
4 0.61978 1.24982 75.0864 2.45699e-33
4 0.713065 0.54652 0.22718 0.796778
4 1.1199 1.23419 0.0543493 0.947101
4 
